Brand,SUB CATEGORY,Units,Avg Unit Price,Any Promo Units,Number of Stores Selling
Brand C,ORANGE BLEND,0,,0,
Brand I,POMEGRANATE,730,$5.72 ,477,423
Brand E,CHERRY,"1,034",$5.79 ,31,159
Brand A,REMAINING FLAVOR,"2,090",$5.20 ,"2,082",465
Brand F,PRUNE,"1,935",$7.57 ,352,993
Brand M,REMAINING FLAVOR,163,$4.93 ,70,110
Brand A,ORANGE BLEND,"6,512",$6.20 ,268,"2,710"
Brand A,BERRY POMEGRANATE,462,$5.22 ,99,229
Brand H,GRAPE,52,$5.07 ,22,26
Brand B,CHERRY,57,$5.99 ,0,24
Brand A,REMAINING FLAVOR,1,$6.49 ,0,1
Brand H,GRAPE,108,$5.90 ,19,81
Brand A,PINEAPPLE,240,$6.46 ,231,119
Brand A,REMAINING FLAVOR,"3,525",$4.68 ,209,"1,840"
Brand A,REMAINING FLAVOR,"2,545",$6.27 ,43,873
Brand A,CARROT,0,,0,
Brand A,REMAINING FLAVOR,30,$7.99 ,0,18
Brand A,REMAINING FLAVOR,929,$4.02 ,101,509
Brand C,ORANGE,575,$8.98 ,0,298
Brand F,CHERRY,25,$3.49 ,0,17
Brand B,CHERRY,783,$6.68 ,0,291.0
Brand E,REMAINING FLAVOR,6,$5.49 ,0,4
Brand C,CRANBERRY BLEND,4,$9.48 ,0,1.0
Brand A,CHERRY,496,$8.50 ,0,151
Brand C,CRANBERRY,326,$11.48 ,42,83
Brand F,PRUNE,41,$4.99 ,0,5
Brand F,CHERRY,914,$5.68 ,62,163.0
Brand A,BERRY POMEGRANATE,"1,163",$6.30 ,21,408.0
Brand A,REMAINING FLAVOR,6,$3.26 ,0,3
Brand C,GRAPEFRUIT,217,$9.43 ,84,106
Brand L,REMAINING FLAVOR,208,$4.42 ,64,123
Brand C,CHERRY,"4,387",$5.97 ,299,"2,323"
Brand C,CHERRY,"3,844",$6.07 ,178,"2,082"
Brand F,CRANBERRY BLEND,"1,745",$5.93 ,430,872
Brand A,CHERRY,146,$7.75 ,54,117
Brand A,REMAINING FLAVOR,53,$4.05 ,0,22
Brand C,BLUEBERRY,0,,0,
Brand A,CRANBERRY BLEND,"1,777",$5.33 ,36,403
Brand L,REMAINING FLAVOR,54,$4.49 ,0,19
Brand H,GRAPE,0,,0,
Brand C,REMAINING FLAVOR,385,$7.54 ,59,126.0
Brand C,ORANGE BLEND,180,$8.67 ,15,114
Brand A,GRAPEFRUIT,115,$8.03 ,0,67
Brand A,REMAINING FLAVOR,517,$4.61 ,0,360
Brand F,GRAPE,"2,884",$4.77 ,4,615
Brand H,CHERRY,"2,303",$4.75 ,"1,180",744
Brand A,GRAPEFRUIT,517,$8.34 ,0,281.0
Brand A,CHERRY,"1,237",$4.54 ,"1,184",620
Brand F,PRUNE,229,$8.46 ,24,109
Brand L,REMAINING FLAVOR,"1,869",$5.30 ,0,768
Brand A,CHERRY,228,$4.25 ,0,118.0
Brand L,REMAINING FLAVOR,"2,154",$4.78 ,"2,131",921
Brand C,CRANBERRY,144,$12.99 ,0,58
Brand H,ORANGE BLEND,144,$4.99 ,0,75
Brand A,REMAINING FLAVOR,"1,609",$5.70 ,796,936
Brand K,REMAINING FLAVOR,87,$7.99 ,0,55.0
Brand D,CHERRY,116,$5.48 ,116,62
Brand F,CRANBERRY BLEND,"2,913",$5.93 ,543,"1,206"
Brand A,MANGO,215,$7.85 ,70,140
Brand H,GRAPE,32,$5.18 ,0,13
Brand C,CHERRY,686,$7.19 ,180,431
Brand A,GRAPE,1,$3.79 ,0,1
Brand A,PINEAPPLE,301,$6.08 ,155,103
Brand A,CHERRY,172,$5.88 ,21,73
Brand A,REMAINING FLAVOR,34,$7.99 ,0,19
Brand C,REMAINING FLAVOR,150,$9.50 ,0,69
Brand A,CRANBERRY BLEND,47,$4.44 ,47,21
Brand H,GRAPE,14,$4.99 ,0,10
Brand F,CHERRY,"3,509",$5.42 ,695,"1,419"
Brand F,POMEGRANATE,"2,677",$5.43 ,689,"1,242"
Brand A,REMAINING FLAVOR,0,,0,
Brand C,CRANBERRY BLEND,"1,982",$6.83 ,"1,948",848
Brand C,REMAINING FLAVOR,697,$7.51 ,0,261.0
Brand C,ORANGE,21,$8.92 ,0,12
Brand A,REMAINING FLAVOR,0,,0,
Brand A,REMAINING FLAVOR,"3,090",$6.63 ,41,"1,190"
Brand A,PRUNE,11,$3.14 ,0,6
Brand A,REMAINING FLAVOR,498,$7.26 ,52,225.0
Brand A,REMAINING FLAVOR,1,$6.49 ,0,1
Brand A,GRAPEFRUIT,0,,0,
Brand A,REMAINING FLAVOR,"1,172",$7.24 ,251,572
Brand C,ORANGE,40,$7.25 ,40,21
Brand A,REMAINING FLAVOR,5,$4.19 ,0,4
Brand L,PEACH,3,$4.99 ,0,1
Brand F,STRAWBERRY BLEND,"1,342",$3.92 ,326,689
Brand C,CHERRY,788,$5.34 ,228,432
Brand C,REMAINING FLAVOR,"7,290",$7.63 ,"1,328","2,273"
Brand C,PRUNE,99,$8.99 ,0,60
Brand C,ORANGE BLEND,910,$6.70 ,113,598
Brand C,CRANBERRY,"3,788",$11.02 ,0,"1,199"
Brand E,CHERRY,"2,058",$5.78 ,89,424
Brand K,GREEN BLEND,181,$7.99 ,0,94.0
Brand C,ORANGE,50,$3.31 ,0,22
Brand I,REMAINING FLAVOR,155,$9.03 ,0,76
Brand H,MANGO,6,$3.12 ,0,6
Brand A,REMAINING FLAVOR,669,$3.86 ,365,433
Brand F,CRANBERRY,"6,581",$5.41 ,"1,192","1,831"
Brand C,CRANBERRY,461,$10.54 ,0,162
Brand C,POMEGRANATE,151,$13.18 ,0,87
Brand A,TOMATO JUICE,"1,344",$5.40 ,8,413.0
Brand C,PRUNE,126,$6.36 ,0,76
Brand H,GRAPE,212,$4.54 ,0,103
Brand A,CRANBERRY BLEND,343,$5.38 ,0,128
Brand C,GRAPEFRUIT,0,,0,
Brand A,REMAINING FLAVOR,589,$3.91 ,499,264.0
Brand A,GRAPEFRUIT,19,$9.44 ,0,10
Brand C,PRUNE,68,$10.50 ,0,31
Brand A,CRANBERRY,"2,009",$8.78 ,"1,712",906
Brand A,CHERRY,202,$9.99 ,95,66
Brand M,REMAINING FLAVOR,230,$4.80 ,209,159
Brand A,REMAINING FLAVOR,229,$6.99 ,229,81
Brand A,BERRY POMEGRANATE,62,$5.99 ,0,32
Brand L,PEACH,1,$3.89 ,0,1
Brand C,REMAINING FLAVOR,250,$7.47 ,0,113
Brand A,REMAINING FLAVOR,157,$8.29 ,0,68
Brand C,MANGO,386,$6.98 ,0,281
Brand C,POMEGRANATE,961,$5.68 ,336,556
Brand A,CRANBERRY,"36,078",$8.94 ,"3,586","13,495"
Brand F,CRANBERRY BLEND,"2,542",$7.99 ,86,"1,049"
Brand A,CHERRY,221,$9.94 ,0,104
Brand C,CARROT,"1,163",$9.22 ,26,392
Brand C,CRANBERRY BLEND,31,$9.15 ,27,22
Brand I,CHERRY,769,$7.87 ,15,452
Brand A,CRANBERRY BLEND,336,$5.29 ,0,127
Brand A,GRAPEFRUIT,0,,0,
Brand A,FRUIT PUNCH,20,$5.49 ,5,20
Brand C,REMAINING FLAVOR,230,$8.99 ,0,88
Brand A,CRANBERRY BLEND,0,,0,
Brand D,CHERRY,0,,0,
Brand A,TROPICAL,2,$4.99 ,0,1
Brand C,PINEAPPLE,1,$3.79 ,0,1
Brand A,FRUIT PUNCH,1,$3.99 ,0,1
Brand M,MANGO,44,$4.73 ,0,32
Brand C,PRUNE,111,$8.99 ,0,59
Brand L,REMAINING FLAVOR,1,$4.09 ,0,1
Brand A,POMEGRANATE,"6,585",$8.56 ,"1,355","3,745"
Brand L,PEACH,0,,0,
Brand E,REMAINING FLAVOR,884,$7.18 ,153,563
Brand A,TOMATO JUICE,"1,169",$5.42 ,29,375
Brand C,POMEGRANATE,37,$7.09 ,17,24
Brand C,REMAINING FLAVOR,"1,651",$7.56 ,95,615
Brand A,REMAINING FLAVOR,907,$6.39 ,83,212
Brand F,REMAINING FLAVOR,368,$5.13 ,0,176
Brand I,TROPICAL,380,$7.91 ,7,291
Brand C,PINEAPPLE,"4,412",$6.65 ,"3,091","1,560"
Brand H,GRAPEFRUIT,22,$3.01 ,0,13
Brand F,CHERRY,"1,972",$5.12 ,0,239
Brand J,CHERRY,627,$5.00 ,0,218
Brand H,GRAPE,1,$4.99 ,0,1
Brand A,REMAINING FLAVOR,842,$4.00 ,509,318
Brand A,BLUEBERRY,980,$10.38 ,165,650
Brand H,CRANBERRY BLEND,0,,0,
Brand H,GRAPE,52,$5.99 ,0,28
Brand L,REMAINING FLAVOR,600,$5.58 ,32,303
Brand L,REMAINING FLAVOR,3,$5.39 ,0,2
Brand A,REMAINING FLAVOR,201,$3.49 ,201,69
Brand A,REMAINING FLAVOR,292,$6.15 ,40,122
Brand A,CRANBERRY BLEND,17,$5.58 ,0,3
Brand C,REMAINING FLAVOR,142,$7.44 ,0,73
Brand C,CHERRY,"3,756",$10.74 ,0,491
Brand C,CARROT,62,$6.49 ,54,39
Brand H,REMAINING FLAVOR,2,$3.04 ,0,2
Brand M,REMAINING FLAVOR,50,$5.03 ,10,42
Brand A,REMAINING FLAVOR,"4,420",$4.25 ,"3,120","1,884"
Brand A,REMAINING FLAVOR,38,$5.99 ,0,24
Brand A,REMAINING FLAVOR,266,$6.77 ,266,103
Brand A,REMAINING FLAVOR,"2,596",$5.27 ,138,453
Brand C,TOMATO JUICE,64,$5.48 ,0,34
Brand C,MANGO,608,$9.95 ,0,262
Brand M,REMAINING FLAVOR,"2,114",$5.18 ,293,"1,155"
Brand A,REMAINING FLAVOR,241,$4.75 ,0,100
Brand J,CRANBERRY,411,$4.99 ,0,155
Brand A,TOMATO JUICE,31,$4.79 ,0,18
Brand F,PRUNE,1,$6.79 ,0,1
Brand H,ORANGE BLEND,875,$4.01 ,857,294.0
Brand M,MANGO,0,,0,
Brand A,CRANBERRY,257,$8.25 ,0,116
Brand E,CRANBERRY,503,$5.82 ,0,143
Brand F,PRUNE,0,,0,
Brand C,CARROT,369,$5.97 ,40,163
Brand L,REMAINING FLAVOR,"1,287",$4.48 ,"1,015",513
Brand F,TOMATO JUICE,"2,377",$2.97 ,113,477
Brand A,REMAINING FLAVOR,5,$5.19 ,0,2
Brand A,REMAINING FLAVOR,5,$2.05 ,0,1
Brand C,REMAINING FLAVOR,101,$6.91 ,10,71
Brand A,REMAINING FLAVOR,112,$4.79 ,0,53
Brand M,REMAINING FLAVOR,15,$4.99 ,0,5
Brand L,REMAINING FLAVOR,101,$4.49 ,0,22
Brand C,REMAINING FLAVOR,369,$8.99 ,0,126
Brand H,GRAPE,796,$4.39 ,370,574
Brand A,CHERRY,"1,006",$8.11 ,34,587
Brand H,CHERRY,"1,210",$5.73 ,241,519
Brand A,BLUEBERRY,3,$4.48 ,0,2
Brand C,POMEGRANATE,"1,114",$12.06 ,0,404.0
Brand A,CRANBERRY,"1,003",$5.10 ,0,533
Brand C,CRANBERRY,175,$10.99 ,0,58
Brand F,REMAINING FLAVOR,0,,0,
Brand A,POMEGRANATE,119,$8.77 ,0,71
Brand A,BLUEBERRY,"1,141",$9.94 ,500,725
Brand B,BLUEBERRY,165,$6.04 ,149,98
Brand A,CRANBERRY,448,$4.98 ,20,337
Brand D,CHERRY,143,$3.13 ,26,87
Brand H,CHERRY,68,$4.58 ,68,22
Brand A,CRANBERRY,"1,157",$10.70 ,"1,157",335
Brand A,PRUNE,"13,003",$7.93 ,"7,184","5,437"
Brand C,REMAINING FLAVOR,31,$4.30 ,0,20
Brand C,PINEAPPLE,17,$3.33 ,0,3
Brand C,CHERRY,125,$6.38 ,6,95
Brand A,GRAPE,0,,0,
Brand C,REMAINING FLAVOR,"4,627",$8.21 ,"1,339","1,212"
Brand A,GRAPEFRUIT,8,$5.37 ,0,2
Brand C,CARROT,193,$6.93 ,25,155
Brand A,CARROT,"3,172",$6.11 ,262,"1,849"
Brand M,REMAINING FLAVOR,"1,589",$6.36 ,168,724
Brand C,REMAINING FLAVOR,17,$7.97 ,0,8
Brand D,CHERRY,7,$3.99 ,0,7
Brand C,PRUNE,78,$10.40 ,67,49.0
Brand C,CRANBERRY BLEND,30,$8.82 ,8,18
Brand A,REMAINING FLAVOR,29,$5.49 ,0,16
Brand L,REMAINING FLAVOR,4,$5.39 ,0,3
Brand H,FRUIT PUNCH,50,$4.99 ,5,38
Brand A,REMAINING FLAVOR,0,,0,
Brand F,PRUNE,"1,910",$6.94 ,13,397
Brand C,REMAINING FLAVOR,518,$6.83 ,518,134
Brand C,REMAINING FLAVOR,359,$7.74 ,0,127
Brand A,CHERRY,"17,633",$6.98 ,47,"3,927"
Brand C,PINEAPPLE,31,$3.32 ,0,16
Brand L,REMAINING FLAVOR,42,$4.40 ,28,9
Brand A,PINEAPPLE,151,$6.29 ,0,75
Brand F,REMAINING FLAVOR,"2,421",$3.79 ,846,456
Brand A,PRUNE,403,$8.89 ,0,239
Brand A,CRANBERRY,803,$8.54 ,40,237
Brand F,POMEGRANATE,25,$6.99 ,0,13
Brand C,CRANBERRY,"22,164",$10.81 ,"7,034","6,439"
Brand E,CHERRY,31,$6.99 ,0,21
Brand E,CRANBERRY,709,$5.06 ,0,144
Brand C,CARROT,872,$8.70 ,11,574
Brand I,CHERRY,3,$6.99 ,0,3
Brand A,REMAINING FLAVOR,305,$8.58 ,0,217
Brand A,REMAINING FLAVOR,103,$4.44 ,69,43
Brand A,REMAINING FLAVOR,"1,805",$7.12 ,"1,511",845
Brand A,TOMATO JUICE,0,,0,
Brand A,REMAINING FLAVOR,8,$4.43 ,0,4
Brand A,REMAINING FLAVOR,32,$7.68 ,32,25.0
Brand A,REMAINING FLAVOR,547,$6.93 ,333,342
Brand C,CHERRY,44,$5.33 ,14,12
Brand H,MANGO,0,,0,
Brand A,PINEAPPLE,"2,123",$8.44 ,41,414
Brand G,CRANBERRY BLEND,377,$7.20 ,8,296
Brand A,REMAINING FLAVOR,1,$9.19 ,0,1.0
Brand A,REMAINING FLAVOR,"1,056",$6.47 ,124,236
Brand A,CHERRY,462,$6.42 ,438,232
Brand A,CRANBERRY BLEND,154,$4.98 ,4,82
Brand A,REMAINING FLAVOR,35,$8.52 ,18,28.0
Brand C,GRAPEFRUIT,69,$3.39 ,9,33
Brand B,CHERRY,154,$5.99 ,0,40
Brand C,MANGO,415,$6.97 ,18,317
Brand C,POMEGRANATE,22,$13.99 ,0,11
Brand H,GRAPE,204,$4.97 ,14,83
Brand C,ORANGE BLEND,56,$9.37 ,0,29.0
Brand E,CHERRY,115,$6.95 ,91,44
Brand C,REMAINING FLAVOR,"2,940",$8.70 ,138,"1,204"
Brand C,POMEGRANATE,600,$5.93 ,104,357
Brand F,CHERRY,15,$5.80 ,0,9
Brand L,REMAINING FLAVOR,0,,0,
Brand A,GRAPEFRUIT,103,$6.29 ,0,57
Brand A,REMAINING FLAVOR,"1,253",$6.68 ,57,313
Brand L,REMAINING FLAVOR,151,$5.30 ,12,92
Brand A,REMAINING FLAVOR,352,$4.99 ,0,118.0
Brand A,REMAINING FLAVOR,34,$7.86 ,0,28
Brand A,CHERRY,"3,260",$8.47 ,117,"1,322"
Brand A,REMAINING FLAVOR,6,$5.29 ,0,6
Brand A,GRAPE,308,$6.26 ,32,209
Brand L,PEACH,260,$5.01 ,0,153
Brand F,MANGO,"3,741",$5.36 ,740,"1,380"
Brand A,REMAINING FLAVOR,187,$4.34 ,64,76
Brand A,CRANBERRY BLEND,62,$4.73 ,50,23
Brand A,CHERRY,"1,893",$10.50 ,27,901
Brand J,CRANBERRY,483,$5.99 ,0,155
Brand A,REMAINING FLAVOR,427,$4.93 ,92,145
Brand C,REMAINING FLAVOR,"4,181",$7.38 ,"1,879","1,800"
Brand A,GRAPEFRUIT,864,$6.31 ,151,516
Brand A,REMAINING FLAVOR,25,$7.99 ,0,17
Brand G,CRANBERRY BLEND,647,$7.75 ,13,496
Brand A,ORANGE BLEND,0,,0,
Brand A,REMAINING FLAVOR,330,$8.77 ,145,101
Brand B,CHERRY,129,$5.76 ,73,33
Brand L,REMAINING FLAVOR,236,$5.08 ,0,85
Brand A,REMAINING FLAVOR,0,,0,
Brand A,CRANBERRY,"1,099",$7.16 ,"1,099",241
Brand D,CHERRY,296,$6.32 ,29,181
Brand A,MANGO,118,$8.08 ,11,74
Brand A,PRUNE,175,$7.53 ,117,63
Brand A,CRANBERRY BLEND,1,$4.59 ,0,1.0
Brand A,REMAINING FLAVOR,"12,947",$4.49 ,717,"5,197"
Brand A,CRANBERRY BLEND,939,$5.49 ,85,441
Brand C,ORANGE,"1,019",$9.16 ,185,617
Brand N,BERRY BLEND,225,$3.47 ,208,91
Brand F,CRANBERRY BLEND,"1,706",$5.56 ,463,958
Brand L,REMAINING FLAVOR,3,$4.09 ,0,1
Brand A,REMAINING FLAVOR,48,$5.49 ,0,23
Brand A,REMAINING FLAVOR,58,$3.99 ,0,36
Brand L,REMAINING FLAVOR,303,$6.37 ,21,109
Brand A,CHERRY,84,$7.99 ,0,53
Brand C,BLUEBERRY,0,,0,
Brand H,REMAINING FLAVOR,0,,0,
Brand L,REMAINING FLAVOR,2,$4.09 ,0,1
Brand A,REMAINING FLAVOR,0,,0,
Brand D,CHERRY,829,$7.20 ,155,408
Brand A,REMAINING FLAVOR,47,$3.99 ,0,26
Brand E,REMAINING FLAVOR,43,$4.24 ,37,14
Brand F,PRUNE,347,$6.29 ,0,141
Brand J,CHERRY,"6,235",$5.80 ,205,"3,042"
Brand B,BLUEBERRY,14,$6.60 ,0,10
Brand C,REMAINING FLAVOR,716,$7.56 ,0,261.0
Brand C,POMEGRANATE,6,$10.29 ,0,4
Brand A,PRUNE,452,$8.37 ,220,235
Brand C,PINEAPPLE,3,$3.79 ,0,2
Brand J,GRAPEFRUIT,98,$4.71 ,98,55
Brand H,GRAPE,83,$6.12 ,0,65.0
Brand A,BERRY POMEGRANATE,97,$5.52 ,87,51
Brand C,REMAINING FLAVOR,61,$6.49 ,52,40
Brand A,GRAPEFRUIT,20,$9.49 ,0,11
Brand A,GRAPEFRUIT,3,$6.99 ,0,1
Brand F,REMAINING FLAVOR,494,$4.99 ,0,187
Brand H,MANGO,75,$2.70 ,0,46
Brand C,CARROT,90,$6.91 ,6,40
Brand C,MANGO,650,$9.25 ,0,293
Brand H,REMAINING FLAVOR,43,$2.88 ,5,38
Brand I,REMAINING FLAVOR,"3,667",$7.28 ,88,"1,423"
Brand C,CHERRY,39,$10.34 ,0,23.0
Brand C,POMEGRANATE,716,$8.55 ,716,221.0
Brand A,REMAINING FLAVOR,"2,464",$5.41 ,640,480.0
Brand M,REMAINING FLAVOR,267,$4.64 ,0,141
Brand C,CHERRY,121,$6.99 ,0,49
Brand A,PRUNE,150,$8.59 ,0,70
Brand F,REMAINING FLAVOR,478,$5.00 ,0,185
Brand H,GRAPEFRUIT,6,$3.49 ,0,3
Brand A,POMEGRANATE,403,$8.62 ,134,160
Brand H,ORANGE BLEND,"10,025",$4.33 ,"3,031","4,246"
Brand C,MANGO,377,$6.03 ,36,159
Brand A,REMAINING FLAVOR,498,$6.14 ,472,227.0
Brand C,ORANGE BLEND,34,$3.29 ,0,14
Brand C,CHERRY,216,$5.99 ,216,81
Brand C,POMEGRANATE,987,$12.04 ,0,360.0
Brand C,BLUEBERRY,81,$13.04 ,0,50
Brand C,CRANBERRY,"16,115",$10.19 ,"4,281","5,751"
Brand C,ORANGE BLEND,42,$6.49 ,0,25
Brand C,GRAPE,578,$9.35 ,578,350
Brand I,REMAINING FLAVOR,0,,0,
Brand A,PRUNE,"12,448",$8.21 ,"2,356","4,868"
Brand A,GRAPE,15,$6.49 ,0,9
Brand C,REMAINING FLAVOR,835,$8.58 ,11,365.0
Brand H,CHERRY,"1,345",$5.27 ,431,574
Brand C,POMEGRANATE,0,,0,
Brand F,REMAINING FLAVOR,"3,063",$5.47 ,311,"1,200"
Brand A,GRAPEFRUIT,952,$6.70 ,57,551
Brand I,REMAINING FLAVOR,151,$9.01 ,0,75
Brand A,CRANBERRY,744,$8.53 ,0,227
Brand F,TOMATO JUICE,"1,683",$3.38 ,135,868
Brand C,CRANBERRY,565,$12.05 ,0,276
Brand J,GRAPEFRUIT,3,$5.15 ,0,1
Brand A,ORANGE BLEND,2,$4.58 ,0,2
Brand D,CHERRY,"5,330",$6.38 ,"3,113","1,262"
Brand L,REMAINING FLAVOR,19,$3.99 ,0,9
Brand I,REMAINING FLAVOR,16,$9.52 ,0,12
Brand I,TROPICAL,264,$7.87 ,31,209
Brand A,CRANBERRY,155,$9.97 ,30,86
Brand C,REMAINING FLAVOR,31,$3.61 ,31,14
Brand A,CRANBERRY BLEND,539,$5.36 ,41,154
Brand L,PEACH,7,$4.99 ,0,2
Brand A,CARROT,40,$7.15 ,40,29
Brand A,CRANBERRY BLEND,16,$5.12 ,0,12
Brand A,REMAINING FLAVOR,454,$6.05 ,454,136
Brand F,CHERRY,"3,136",$6.87 ,112,"1,084"
Brand M,PEACH,86,$6.02 ,45,66
Brand A,PINEAPPLE,3,$5.99 ,0,3
Brand A,TOMATO JUICE,0,,0,
Brand L,REMAINING FLAVOR,1,$3.89 ,0,1
Brand H,ORANGE BLEND,922,$4.77 ,0,443
Brand A,TOMATO JUICE,"1,675",$4.43 ,"1,675",420.0
Brand F,PRUNE,71,$6.96 ,0,38
Brand A,GRAPEFRUIT,50,$7.99 ,15,31
Brand F,ORANGE BLEND,"1,702",$2.74 ,0,328
Brand C,MANGO,105,$6.90 ,0,66
Brand A,CHERRY,9,$5.09 ,0,2
Brand C,REMAINING FLAVOR,0,,0,
Brand G,CHERRY,175,$8.21 ,24,92
Brand A,REMAINING FLAVOR,"7,151",$4.78 ,345,"2,472"
Brand H,GRAPE,0,,0,
Brand C,CHERRY,303,$7.13 ,177,147
Brand F,POMEGRANATE,"2,896",$5.26 ,319,"1,313"
Brand C,CHERRY,287,$6.48 ,0,203
Brand C,REMAINING FLAVOR,50,$9.95 ,0,39
Brand F,PRUNE,"2,807",$5.91 ,"1,239",335
Brand J,CHERRY,516,$5.37 ,0,247
Brand C,CHERRY,964,$9.60 ,530,359
Brand D,CHERRY,2,$3.99 ,0,2
Brand C,GRAPE,0,,0,
Brand H,GRAPE,34,$4.60 ,34,27
Brand H,GRAPE,243,$5.02 ,6,167
Brand A,CRANBERRY,94,$13.16 ,0,57.0
Brand D,CHERRY,209,$7.98 ,16,77
Brand H,REMAINING FLAVOR,7,$6.44 ,0,7
Brand C,REMAINING FLAVOR,0,,0,
Brand C,REMAINING FLAVOR,140,$9.55 ,51,48
Brand E,REMAINING FLAVOR,919,$7.52 ,115,566
Brand C,REMAINING FLAVOR,56,$6.49 ,0,37
Brand C,GRAPEFRUIT,635,$7.10 ,0,426
Brand A,CHERRY,"1,758",$4.43 ,684,867
Brand A,BERRY POMEGRANATE,362,$6.26 ,0,212
Brand L,REMAINING FLAVOR,43,$4.50 ,0,23
Brand E,CRANBERRY,557,$5.82 ,0,145
Brand A,CHERRY,333,$5.25 ,333,101
Brand A,REMAINING FLAVOR,207,$5.99 ,0,81
Brand C,REMAINING FLAVOR,285,$10.24 ,149,111
Brand A,REMAINING FLAVOR,51,$5.30 ,8,30
Brand L,REMAINING FLAVOR,405,$4.86 ,0,135
Brand C,REMAINING FLAVOR,135,$7.41 ,0,55
Brand A,REMAINING FLAVOR,59,$8.59 ,0,35
Brand L,REMAINING FLAVOR,382,$5.07 ,284,155
Brand E,REMAINING FLAVOR,263,$4.99 ,51,160
Brand C,GRAPEFRUIT,161,$9.65 ,28,87
Brand A,CHERRY,231,$6.99 ,65,102.0
Brand A,CRANBERRY,218,$11.76 ,29,98
Brand K,GREEN BLEND,169,$7.97 ,0,95
Brand A,POMEGRANATE,662,$8.58 ,241,370
Brand C,REMAINING FLAVOR,80,$7.44 ,0,45
Brand F,REMAINING FLAVOR,"3,558",$5.45 ,685,"1,296"
Brand A,GRAPE,867,$5.46 ,13,320.0
Brand C,POMEGRANATE,121,$11.99 ,0,61
Brand M,REMAINING FLAVOR,5,$5.29 ,0,2
Brand A,REMAINING FLAVOR,77,$4.41 ,39,33
Brand A,REMAINING FLAVOR,647,$4.56 ,103,430
Brand A,REMAINING FLAVOR,"1,406",$7.19 ,95,250
Brand A,REMAINING FLAVOR,198,$4.53 ,188,89.0
Brand C,CHERRY,898,$9.69 ,387,359
Brand A,REMAINING FLAVOR,49,$5.49 ,0,28
Brand B,CHERRY,"44,380",$5.21 ,634,"5,570"
Brand D,CHERRY,41,$9.84 ,0,27
Brand A,REMAINING FLAVOR,18,$4.99 ,0,12
Brand F,CHERRY,"1,634",$5.70 ,111,769
Brand A,GRAPEFRUIT,104,$7.99 ,0,68
Brand I,REMAINING FLAVOR,1,$8.99 ,0,1
Brand J,GRAPEFRUIT,"8,085",$5.11 ,"1,749","3,495"
Brand A,PRUNE,108,$9.83 ,0,64
Brand C,CHERRY,389,$9.50 ,0,168
Brand C,ORANGE,232,$9.34 ,0,119
Brand L,REMAINING FLAVOR,458,$4.87 ,0,134
Brand A,TOMATO JUICE,82,$4.79 ,0,54
Brand I,POMEGRANATE,66,$8.31 ,18,47
Brand B,CHERRY,506,$6.12 ,103,137
Brand C,CRANBERRY BLEND,39,$6.71 ,28,27
Brand A,REMAINING FLAVOR,2,$8.19 ,0,1
Brand D,CHERRY,40,$2.29 ,0,9
Brand A,REMAINING FLAVOR,584,$4.70 ,24,241
Brand A,REMAINING FLAVOR,"14,601",$6.39 ,"1,099","5,421"
Brand H,ORANGE BLEND,566,$5.76 ,0,277.0
Brand C,CRANBERRY,0,,0,
Brand C,REMAINING FLAVOR,210,$9.89 ,0,88
Brand C,PINEAPPLE,2,$2.49 ,0,2
Brand B,BLUEBERRY,"5,716",$5.39 ,445,"2,457"
Brand A,CRANBERRY,8,$13.78 ,0,4
Brand E,REMAINING FLAVOR,309,$7.01 ,0,153
Brand A,MANGO,50,$8.68 ,0,39
Brand A,CRANBERRY,881,$10.49 ,162,582
Brand A,REMAINING FLAVOR,1,$5.65 ,0,1
Brand A,CRANBERRY BLEND,481,$5.83 ,374,286
Brand H,REMAINING FLAVOR,0,,0,
Brand C,CHERRY,7,$5.99 ,0,4
Brand A,CRANBERRY,3,$13.99 ,0,3
Brand A,CHERRY,"1,858",$5.45 ,"1,271",967
Brand A,REMAINING FLAVOR,70,$5.25 ,20,42
Brand A,REMAINING FLAVOR,653,$7.96 ,653,358
Brand C,BLUEBERRY,819,$13.59 ,0,287
Brand C,REMAINING FLAVOR,716,$9.01 ,99,205
Brand A,POMEGRANATE,288,$8.86 ,0,138
Brand A,PINEAPPLE,670,$6.61 ,17,438
Brand A,CRANBERRY,112,$13.13 ,0,68.0
Brand F,CRANBERRY,"2,276",$7.06 ,101,487
Brand A,POMEGRANATE,277,$9.99 ,0,109
Brand J,GRAPEFRUIT,173,$5.40 ,0,65
Brand E,REMAINING FLAVOR,268,$4.93 ,0,141
Brand C,REMAINING FLAVOR,46,$5.99 ,0,32
Brand N,CHERRY,21,$7.06 ,0,19
Brand A,REMAINING FLAVOR,269,$8.79 ,269,96
Brand C,GRAPEFRUIT,703,$7.22 ,0,442
Brand A,POMEGRANATE,319,$12.70 ,150,217
Brand L,REMAINING FLAVOR,1,$4.49 ,0,1
Brand A,GRAPE,26,$7.88 ,3,18
Brand A,CRANBERRY,938,$10.33 ,73,377.0
Brand C,CRANBERRY,132,$11.61 ,124,71.0
Brand A,CRANBERRY,"1,319",$11.59 ,0,733
Brand C,GRAPEFRUIT,58,$3.31 ,21,34
Brand A,GRAPE,1,$2.04 ,0,1
Brand A,REMAINING FLAVOR,58,$4.94 ,10,30
Brand A,REMAINING FLAVOR,125,$4.99 ,0,61.0
