Brand,SUB CATEGORY,Units,Avg Unit Price,Any Promo Units,Number of Stores Selling
Brand C,CARROT,115,$7.66 ,0,53
Brand A,GRAPE,451,$6.64 ,251,210.0
Brand L,REMAINING FLAVOR,521,$5.29 ,0,145
Brand C,ORANGE BLEND,35,$7.92 ,0,22
Brand I,REMAINING FLAVOR,0,,0,
Brand B,CHERRY,816,$6.16 ,721,335
Brand A,CARROT,1,$5.99 ,0,1
Brand H,GRAPE,32,$5.20 ,0,9
Brand F,REMAINING FLAVOR,23,$0.01 ,0,6
Brand A,CRANBERRY,370,$7.56 ,0,99
Brand A,TOMATO JUICE,203,$3.31 ,185,102
Brand F,CHERRY,251,$4.15 ,9,114
Brand J,CRANBERRY,"44,753",$5.45 ,"4,744","12,941"
Brand C,POMEGRANATE,"3,629",$10.34 ,"3,629",497.0
Brand E,CRANBERRY,"6,035",$6.29 ,"1,723","2,304"
Brand F,CHERRY,"3,077",$5.38 ,541,"1,290"
Brand A,BERRY POMEGRANATE,21,$6.46 ,0,9
Brand M,MANGO,0,,0,
Brand C,MANGO,555,$8.79 ,0,258
Brand A,BLUEBERRY,"1,240",$9.47 ,754,719
Brand C,CRANBERRY,"1,794",$11.52 ,84,472.0
Brand C,CHERRY,430,$5.67 ,23,297
Brand A,CRANBERRY BLEND,419,$5.63 ,10,147
Brand C,CHERRY,885,$6.97 ,885,219
Brand C,POMEGRANATE,398,$8.58 ,378,163
Brand I,CHERRY,"2,251",$8.15 ,38,780
Brand A,GRAPE,303,$7.19 ,0,150.0
Brand L,PEACH,1,$3.99 ,0,1
Brand B,CHERRY,87,$4.96 ,87,23
Brand H,FRUIT PUNCH,52,$4.85 ,0,36
Brand C,REMAINING FLAVOR,934,$8.57 ,0,363.0
Brand C,REMAINING FLAVOR,1,$7.49 ,0,1
Brand E,STRAWBERRY BLEND,45,$4.61 ,38,28
Brand C,ORANGE BLEND,"3,043",$6.75 ,"3,043",500.0
Brand D,CHERRY,11,$3.99 ,0,3
Brand C,REMAINING FLAVOR,215,$8.67 ,0,72
Brand A,PINEAPPLE,"1,786",$7.99 ,0,470.0
Brand E,CRANBERRY,457,$5.99 ,0,138
Brand A,CHERRY,"1,102",$4.70 ,486,652
Brand C,ORANGE BLEND,0,,0,
Brand H,GRAPEFRUIT,10,$1.14 ,0,2
Brand C,CHERRY,193,$5.77 ,193,98
Brand A,GRAPE,377,$6.39 ,265,191.0
Brand C,REMAINING FLAVOR,230,$8.01 ,0,95
Brand E,REMAINING FLAVOR,24,$4.38 ,0,12
Brand C,REMAINING FLAVOR,"2,275",$6.83 ,690,998
Brand B,CHERRY,226,$6.21 ,0,117
Brand N,TROPICAL,188,$4.96 ,0,154
Brand H,CHERRY,53,$5.54 ,0,24
Brand B,BLUEBERRY,49,$5.15 ,44,23
Brand F,REMAINING FLAVOR,"2,227",$5.10 ,435,"1,065"
Brand C,CHERRY,437,$6.03 ,137,274
Brand A,BLUEBERRY,227,$10.06 ,29,127
Brand H,ORANGE BLEND,148,$4.99 ,0,77
Brand C,FRUIT PUNCH,7,$6.20 ,0,5
Brand A,PRUNE,478,$7.21 ,470,217
Brand M,MANGO,2,$5.29 ,0,2
Brand C,REMAINING FLAVOR,"2,111",$8.95 ,38,458
Brand A,REMAINING FLAVOR,7,$7.02 ,0,4
Brand A,BERRY POMEGRANATE,919,$5.26 ,347,320
Brand A,GRAPEFRUIT,"1,088",$5.27 ,979,599
Brand A,BLUEBERRY,1,$2.74 ,0,1
Brand C,REMAINING FLAVOR,157,$6.46 ,157,56
Brand F,CHERRY,"1,290",$5.00 ,0,220
Brand M,MANGO,605,$4.67 ,0,240
Brand M,REMAINING FLAVOR,"3,357",$5.31 ,200,"1,660"
Brand A,ORANGE BLEND,0,,0,
Brand C,REMAINING FLAVOR,158,$7.28 ,58,103.0
Brand H,REMAINING FLAVOR,0,,0,
Brand C,PRUNE,"4,395",$10.33 ,947,"2,043"
Brand H,REMAINING FLAVOR,50,$2.64 ,4,24
Brand C,REMAINING FLAVOR,"5,301",$7.72 ,0,"1,249"
Brand C,CARROT,127,$7.23 ,117,57
Brand C,CHERRY,76,$8.54 ,5,35
Brand A,GRAPE,"1,424",$8.02 ,0,684
Brand C,REMAINING FLAVOR,"5,083",$8.53 ,"5,054","1,247"
Brand C,PRUNE,347,$10.66 ,12,189
Brand A,POMEGRANATE,349,$8.51 ,0,174
Brand C,GRAPE,26,$9.02 ,0,16
Brand L,REMAINING FLAVOR,0,,0,
Brand L,REMAINING FLAVOR,22,$5.83 ,0,17
Brand C,PINEAPPLE,0,,0,
Brand A,REMAINING FLAVOR,267,$5.94 ,34,120
Brand A,POMEGRANATE,42,$10.92 ,0,30
Brand F,POMEGRANATE,15,$6.52 ,14,7
Brand A,BERRY POMEGRANATE,748,$5.29 ,421,371
Brand F,POMEGRANATE,"7,844",$5.57 ,0,"2,510"
Brand C,REMAINING FLAVOR,60,$6.11 ,20,41
Brand F,POMEGRANATE,47,$6.77 ,0,27
Brand F,REMAINING FLAVOR,103,$4.25 ,0,22
Brand A,GRAPE,1,$4.99 ,0,1
Brand K,STRAWBERRY BLEND,42,$7.99 ,0,39.0
Brand C,REMAINING FLAVOR,"2,959",$8.51 ,103,486.0
Brand A,GRAPE,15,$6.49 ,0,7
Brand N,BERRY BLEND,"2,446",$4.45 ,465,"1,302"
Brand L,MANGO,32,$4.99 ,0,16
Brand K,REMAINING FLAVOR,50,$7.99 ,0,32
Brand B,BLUEBERRY,29,$5.97 ,0,16
Brand A,REMAINING FLAVOR,262,$4.70 ,0,125
Brand C,REMAINING FLAVOR,112,$7.48 ,24,57
Brand E,POMEGRANATE,"1,458",$5.90 ,525,596
Brand M,REMAINING FLAVOR,25,$5.88 ,0,23
Brand I,CHERRY,764,$7.85 ,64,440
Brand A,TROPICAL,0,,0,
Brand A,REMAINING FLAVOR,4,$8.54 ,0,3.0
Brand A,MANGO,218,$8.02 ,6,128
Brand A,BLUEBERRY,134,$8.44 ,0,56
Brand A,GRAPE,0,,0,
Brand A,REMAINING FLAVOR,"3,659",$4.77 ,574,"1,828"
Brand A,BERRY POMEGRANATE,122,$6.00 ,0,55
Brand H,CHERRY,62,$5.51 ,0,21
Brand H,GRAPEFRUIT,2,$2.89 ,0,2
Brand E,CHERRY,123,$7.36 ,28,65
Brand A,BERRY POMEGRANATE,311,$5.81 ,0,201
Brand A,BLUEBERRY,479,$9.73 ,14,267.0
Brand L,REMAINING FLAVOR,3,$4.99 ,0,1.0
Brand C,BLUEBERRY,74,$10.21 ,74,45
Brand A,CHERRY,"1,589",$6.13 ,694,871
Brand C,REMAINING FLAVOR,"2,203",$8.54 ,0,474.0
Brand A,REMAINING FLAVOR,"2,339",$5.32 ,"1,905",926
Brand A,PINEAPPLE,"1,189",$4.98 ,"1,163",653
Brand E,CRANBERRY BLEND,0,,0,
Brand C,PRUNE,66,$10.49 ,0,33
Brand C,GRAPE,"2,226",$9.20 ,95,857
Brand A,REMAINING FLAVOR,459,$5.07 ,0,148
Brand N,TROPICAL,34,$4.99 ,0,23
Brand F,PRUNE,"2,174",$6.72 ,148,377
Brand L,REMAINING FLAVOR,0,,0,
Brand D,CHERRY,6,$3.99 ,0,3
Brand D,CHERRY,260,$6.95 ,4,121
Brand C,REMAINING FLAVOR,557,$7.33 ,538,160
Brand A,REMAINING FLAVOR,"1,185",$4.14 ,300,651
Brand K,CHERRY,188,$7.99 ,0,79
Brand E,CHERRY,"1,101",$5.99 ,79,168
Brand F,ORANGE BLEND,0,,0,
Brand A,REMAINING FLAVOR,243,$7.73 ,0,112.0
Brand M,MANGO,15,$4.72 ,0,14
Brand C,CHERRY,195,$4.92 ,42,95
Brand C,ORANGE,669,$5.93 ,61,426
